##### TOWN SIGN #####
STR_TOWNSIGN_GROWTHRATE     :每 {NUM} {STRING}成长一次
STR_TOWNSIGN_MONTHS         :个月
STR_TOWNSIGN_DAYS           :天
STR_TOWNSIGN_MINUTES        :分钟
STR_TOWNSIGN_SECONDS        :秒
STR_TOWNSIGN_NOTGROWING     :停止成长

##### CARGO CATEGORIES #####
STR_CARGOCAT_LABEL_0     :公共服务
STR_CARGOCAT_LABEL_1     :基础食物
STR_CARGOCAT_LABEL_2     :基础材料
STR_CARGOCAT_LABEL_3     :加工材料
STR_CARGOCAT_LABEL_4     :最终产品
STR_CARGOCAT_LABEL_5     :产品
STR_CARGOCAT_LABEL_6     :本地生产
STR_CARGOCAT_LABEL_7     :进口货物
STR_CARGOCAT_LABEL_8     :类别Ⅰ
STR_CARGOCAT_LABEL_9     :类别Ⅱ
STR_CARGOCAT_LABEL_10    :类别Ⅲ
STR_CARGOCAT_LABEL_11    :类别Ⅳ
STR_CARGOCAT_LABEL_12    :类别Ⅴ
STR_CARGOCAT_LABEL_13    :食品基材
STR_CARGOCAT_LABEL_14    :精炼材料
STR_CARGOCAT_LABEL_15    :制造零件
STR_CARGOCAT_LABEL_16    :车辆成品

##### STORY BOOK #####
STR_SB_TITLE_1           :货物类别
STR_SB_EXPLAIN_1         :每个城镇货物类别都包括不同的货物。为满足对于某类别的需求，你可以交付任何属于该类别的货物。
STR_SB_EXPLAIN_2         :每个城镇货物类别都包括不同的货物。每个城镇将从每个类别中选择{STRING}。为满足对于某类别的需求，你可以交付任何在“城镇信息”窗口中所示属于该类别的货物。
STR_SB_EXPLAIN_RANDOM_0  :{SILVER}{NUM} 种货物{BLACK}{STRING}
STR_SB_EXPLAIN_RANDOM_2  :{SILVER}{NUM} - {NUM} 货物类别说明书页 {BLACK}
STR_SB_CARGOCAT_CAT      :类别
STR_SB_CARGOCAT_POP      :最少城镇人口
STR_SB_CARGOCAT_DECAY    :每月衰减
STR_SB_CARGOCAT_CARGOT   :货物
STR_SB_CARGOCAT_0        :{STRING} {NUM}：{LTBLUE}{STRING}{BLACK}{}{STRING}：{SILVER}{NUM}{BLACK}，{STRING}：{SILVER}{NUM}%{BLACK}{}{STRING}：{CARGO_LIST}
STR_SB_CARGOCAT_1        :{STRING} {NUM}：{GREEN}{STRING}{BLACK}{}{STRING}：{SILVER}{NUM}{BLACK}，{STRING}：{SILVER}{NUM}%{BLACK}{}{STRING}：{CARGO_LIST}
STR_SB_CARGOCAT_2        :{STRING} {NUM}：{RED}{STRING}{BLACK}{}{STRING}：{SILVER}{NUM}{BLACK}，{STRING}：{SILVER}{NUM}%{BLACK}{}{STRING}：{CARGO_LIST}
STR_SB_CARGOCAT_3        :{STRING} {NUM}：{BROWN}{STRING}{BLACK}{}{STRING}：{SILVER}{NUM}{BLACK}，{STRING}：{SILVER}{NUM}%{BLACK}{}{STRING}：{CARGO_LIST}
STR_SB_CARGOCAT_4        :{STRING} {NUM}：{PURPLE}{STRING}{BLACK}{}{STRING}：{SILVER}{NUM}{BLACK}，{STRING}：{SILVER}{NUM}%{BLACK}{}{STRING}：{CARGO_LIST}
STR_SB_CARGOCAT_5        :{STRING} {NUM}：{YELLOW}{STRING}{BLACK}{}{STRING}：{SILVER}{NUM}{BLACK}，{STRING}：{SILVER}{NUM}%{BLACK}{}{STRING}：{CARGO_LIST}
